function_id,status,severity,as_of,excel_builds_judged,rows_judged,rows_agree,worst_ulp,exact_domain_note,kernel_story_ref,blocked_by,evidence_refs
FUNC.EXPONDIST,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.F.DIST,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; not a BETA identity,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.F.DIST.RT,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.F.INV,divergent,gross,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),105,27,6317,July numeric_drift_open via BUG-FUNC-021; stream status open,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.F.INV.RT,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.F.TEST,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); catalog G3-06: 33/48; variance schedule + F tail",,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-06;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.FACT,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); reverse native product landed (<=170)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.FACTDOUBLE,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; reverse native product landed,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.FALSE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FDIST,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; catalog G3-01: legacy distribution family; bodies on ERFC / bgrat / private PMF walls,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.FILTER,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FILTERXML,unverified,,,,,,,July deferred; in scope unless CUBE*/WEBSERVICE/STOCKHISTORY,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#deferred
FUNC.FIND,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FINDB,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FINV,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; catalog G3-01: legacy distribution family; bodies on ERFC / bgrat / private PMF walls,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.FISHER,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FISHERINV,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),27,10,,July numeric_drift_open via BUG-FUNC-027; stream status open,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.FIXED,unverified,,,,,,,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: July map said consistent, stock take says unverified; stock take wins; Cat-1 locale seam; July runs returned #VALUE! at the seam (TEXT 0/78); judge under a pinned locale (W111-11)",,harness:locale,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.FLOOR,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FLOOR.MATH,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FLOOR.PRECISE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FORECAST,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),65,65,0,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); conflict: July map said divergent, stock take says consistent; stock take wins; centered kernel",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.FORECAST.LINEAR,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),4,4,0,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); conflict: July map said divergent, stock take says consistent; stock take wins; small corpus",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.FORMULATEXT,unverified,,,,,,,July harness_pending: cell formula metadata: OxCalc integration lane,,harness:workbook,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#harness_pending
FUNC.FREQUENCY,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.FTEST,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); catalog G3-06: 33/48; variance schedule + F tail",,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-06;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.FV,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),149,149,0,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); incl. adversarial",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.FVSCHEDULE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.GAMMA,divergent,gross,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,1182,"July numeric_drift_open via BUG-FUNC-027; stream status open; catalog G3-02: exact slices landed (integers 1..88, half-integers, rational residues); B1 [0.7,1.5) max 1182 ULP, n>=89 max 8 ULP",,wall:gammaln-b1b2,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-02;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.GAMMA.DIST,divergent,numeric,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),446,337,8,July numeric_drift_open via BUG-FUNC-021; stream status open; CDF 337/446; PDF 4-8 ULP,,wall:bgrat;wall:private-pmf,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.GAMMA.INV,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),60,18,,July numeric_drift_open via BUG-FUNC-021; stream status open; incl. near-1 tail/cap (was oxf-acdw.3.1),,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.GAMMADIST,divergent,numeric,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,8,July numeric_drift_open via BUG-FUNC-021; stream status open; as GAMMA.DIST,,wall:bgrat;wall:private-pmf,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.GAMMAINV,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; catalog G3-01: legacy distribution family; bodies on ERFC / bgrat / private PMF walls,,wall:bgrat,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.GAMMALN,divergent,gross,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,1182,"July numeric_drift_open via BUG-FUNC-027; stream status open; catalog G3-02: exact slices landed (integers 1..88, half-integers, rational residues); B1 [0.7,1.5) max 1182 ULP, n>=89 max 8 ULP",,wall:gammaln-b1b2,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-027;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-02;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.GAMMALN.PRECISE,divergent,gross,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,1182,"July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off; conflict: consistent below, open catalog row G3-02 above; catalog wins; catalog G3-02: exact slices landed (integers 1..88, half-integers, rational residues); B1 [0.7,1.5) max 1182 ULP, n>=89 max 8 ULP",,wall:gammaln-b1b2,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-02;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.GAUSS,divergent,last_bit,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,1,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); catalog G3-07: sign-split wrapper landed (G-F3); body inherits the ERFC wall; NORMSDIST(-1) 1 ULP",,wall:erf-erfc-body,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-07;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.GCD,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.GEOMEAN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.GESTEP,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,July structural_bug_open via BUG-FUNC-028; streams now closed_signed_off,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-028
FUNC.GROUPBY,unverified,,,,,,,July excluded: callable / pivot aggregation form,,harness:lambda,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#excluded
FUNC.GROWTH,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6); catalog G3-04: 666/1240; kernel unknown",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-04
FUNC.HARMEAN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.HEX2BIN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.HEX2DEC,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.HEX2OCT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.HLOOKUP,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.HOUR,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.HSTACK,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.HYPERLINK,divergent,unmeasured,2026-05-28,pre-20430 (20026..20326; per-row build in evidence),,,,"July mixed_or_open: genuine non-match rows, no linked stream, untriaged (W111-6)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#mixed_or_open
FUNC.HYPGEOM.DIST,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),20,0,,July numeric_drift_open via BUG-FUNC-021; stream status open; 0/20 vs every COMBIN association,,wall:private-pmf,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.HYPGEOMDIST,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,July numeric_drift_open via BUG-FUNC-021; stream status open; catalog G3-01: legacy distribution family; bodies on ERFC / bgrat / private PMF walls,,wall:private-pmf,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-021;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G3-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
FUNC.IF,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IFERROR,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IFNA,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IFS,unverified,,,,,,,July structural_bug_open via BUG-FUNC-018; streams now validated_local (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-018
FUNC.IMABS,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMAGE,unverified,,,,,,,July excluded: host: image / web resource,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#excluded
FUNC.IMAGINARY,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMARGUMENT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMCONJUGATE,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMCOS,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMCOSH,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMCOT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMCSC,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMCSCH,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMDIV,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMEXP,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says divergent; stock take wins; non-identities recorded; 90-97% in runs",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.IMLN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMLOG10,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMLOG2,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMPOWER,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says divergent; stock take wins; non-identities recorded",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.IMPRODUCT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMREAL,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMSEC,divergent,unmeasured,2026-09-12,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); conflict: July map said consistent, stock take says divergent; stock take wins; non-identities recorded",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.IMSECH,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMSIN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMSINH,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMSQRT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMSUB,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMSUM,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IMTAN,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.INDEX,unverified,,,,,,,July structural_bug_open via BUG-FUNC-003; streams now handed_off (fix not re-judged live): re-judge in W111-6,,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#structural_bug_open;BUG_STREAM_REGISTER:BUG-FUNC-003
FUNC.INDIRECT,unverified,,,,,,,July excluded: reference-from-text; needs reference/host resolution,,harness:workbook,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#excluded
FUNC.INFO,unverified,,,,,,,July excluded: host / system environment state,,harness:workbook,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#excluded
FUNC.INT,consistent,,2026-07-02,pre-20430 (20026..20326; per-row build in evidence),,,,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.INTERCEPT,consistent,,2026-07-12,pre-20430 (20026..20326; per-row build in evidence),4,4,0,"July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim); small corpus",,,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed;docs/function-lane/BIT_EXACT_STOCK_TAKE_20260922.md
FUNC.INTRATE,divergent,last_bit,2026-09-25,20430,2400,1562,2,"W111 G8-05 YEARFRAC basis-1 fix and first live judging of the shared day-count users, two fresh corpora: 1562/2400 on build 20430, misses {'last_bit': 838}; was consistent; earlier: July map bit_exact_observed (array_rollup runs, no non-match; not a closure claim)",,,docs/function-lane/evidence/w111-g8-yearfrac-20260925/misses.json;smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#bit_exact_observed
FUNC.IPMT,divergent,unmeasured,2026-09-15,pre-20430 (20026..20326; per-row build in evidence),,,,"July numeric_drift_open via BUG-FUNC-015; stream status investigating; catalog G6-01: expm1 |tau|<1 double-rounding wall; live PMT 10,801/13,752",,wall:pmt-expm1,smart-fuzzer/planning/FUNCTION_STATUS_MAP.md#numeric_drift_open;BUG_STREAM_REGISTER:BUG-FUNC-015;docs/OXFUNC_EXCEL_DISCREPANCY_CATALOG.md#G6-01;docs/function-lane/W109_WALL_CLUES_LEDGER.md
